GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junit,com.demo.junit.service,UserService,0,31,0,0,0,8,0,4,0,4
junit,com.demo.junit.controller,UserController,3,21,1,1,1,6,1,3,0,3
junit,com.demo.junit,JunitApplication,0,8,0,0,0,3,0,2,0,2
junit,com.demo.junit.user,User,0,17,0,0,0,7,0,5,0,5
